Country,Calling Code
United States,1
Canada,1
Bahamas,1 (242)
Barbados,1 (246)
Anguilla,1 (264)
Antigua and Barbuda,1 (268)
British Virgin Islands,1 (284)
Cayman Islands,1 (345)
Bermuda,1 (441)
Grenada,1 (473)
Turks and Caicos Islands,1 (649)
Jamaica,"1 (658, 876)"
Montserrat,1 (664)
Sint Maarten,1 (721)
Saint Lucia,1 (758)
Dominica,1 (767)
Saint Vincent and the Grenadines,1 (784)
Dominican Republic,"1 (809, 829, 849)"
Trinidad and Tobago,1 (868)
Saint Kitts and Nevis,1 (869)
Egypt,20
South Sudan,211
Morocco,212
Algeria,213
Tunisia,216
Libya,218
Gambia,220
Senegal,221
Mauritania,222
Mali,223
Guinea,224
Ivory Coast,225
Burkina Faso,226
Niger,227
Togo,228
Benin,229
Mauritius,230
Liberia,231
Sierra Leone,232
Ghana,233
Nigeria,234
Chad,235
Central African Republic,236
Cameroon,237
Cape Verde,238
São Tomé and Príncipe,239
Equatorial Guinea,240
Gabon,241
Republic of the Congo,242
Democratic Republic of the Congo,243
Angola,244
Guinea-Bissau,245
British Indian Ocean Territory,246
Ascension Island,247
Seychelles,248
Sudan,249
Rwanda,250
Ethiopia,251
Somalia,252
Djibouti,253
Kenya,254
Tanzania,255
Uganda,256
Burundi,257
Mozambique,258
Zambia,260
Madagascar,261
Réunion,262
Zimbabwe,263
Namibia,264
Malawi,265
Lesotho,266
Botswana,267
Eswatini,268
Comoros,269
South Africa,27
Saint Helena,290
Eritrea,291
Aruba,297
Faroe Islands,298
Greenland,299
Greece,30
Netherlands,31
Belgium,32
France,33
Spain,34
Gibraltar,350
Portugal,351
Luxembourg,352
Ireland,353
Iceland,354
Albania,355
Malta,356
Cyprus,357
Finland,358
Bulgaria,359
Hungary,36
Lithuania,370
Latvia,371
Estonia,372
Moldova,373
Armenia,374
Belarus,375
Andorra,376
Monaco,377
San Marino,378
Vatican City,379
Ukraine,380
Serbia,381
Montenegro,382
Kosovo,383
Croatia,385
Slovenia,386
Bosnia and Herzegovina,387
North Macedonia,389
Italy,39
Romania,40
Switzerland,41
Czech Republic,420
Slovakia,421
Liechtenstein,423
Austria,43
United Kingdom,44
Denmark,45
Sweden,46
Norway,47
Poland,48
Germany,49
Falkland Islands,500
Belize,501
Guatemala,502
El Salvador,503
Honduras,504
Nicaragua,505
Costa Rica,506
Panama,507
Saint-Pierre and Miquelon,508
Haiti,509
Peru,51
Mexico,52
Cuba,53
Argentina,54
Brazil,55
Chile,56
Colombia,57
Venezuela,58
Guadeloupe,590
Bolivia,591
Guyana,592
Ecuador,593
French Guiana,594
Paraguay,595
Martinique,596
Suriname,597
Uruguay,598
Malaysia,60
Australia,61
Indonesia,62
Philippines,63
New Zealand,64
Singapore,65
Thailand,66
East Timor,670
Brunei,673
Nauru,674
Papua New Guinea,675
Tonga,676
Solomon Islands,677
Vanuatu,678
Fiji,679
Palau,680
Wallis and Futuna,681
Cook Islands,682
Niue,683
Samoa,685
Kiribati,686
New Caledonia,687
Tuvalu,688
French Polynesia,689
Tokelau,690
Federated States of Micronesia,691
Marshall Islands,692
Russia,7
Kazakhstan,"7 (6, 7)"
Japan,81
South Korea,82
Vietnam,84
North Korea,850
Hong Kong,852
Macau,853
Cambodia,855
Laos,856
China,86
Bangladesh,880
Taiwan,886
Turkey,90
India,91
Pakistan,92
Afghanistan,93
Sri Lanka,94
Myanmar,95
Maldives,960
Lebanon,961
Jordan,962
Syria,963
Iraq,964
Kuwait,965
Saudi Arabia,966
Yemen,967
Oman,968
Palestine,970
United Arab Emirates,971
Israel,972
Bahrain,973
Qatar,974
Bhutan,975
Mongolia,976
Nepal,977
Iran,98
Tajikistan,992
Turkmenistan,993
Azerbaijan,994
Georgia,995
Kyrgyzstan,996
Uzbekistan,998